"","Code","Replicate","Warming","Soil_pH","Air_cannopy_temp1","Air_cannopy_temp2","Air_cannopy_temp3","Air_cannopy_temp4","Air_cannopy_temp5","Air_cannopy_temp6","Soil_temp","Soil_hum","Soil_organic","N_mineralization","PAR_inter","T1_percent_loss","T2_percent_loss","T3_percent_loss","T4_percent_loss","T5_percent_loss","sp_T4_percent_loss","Spartina_densiflora","Apium_sellowianum","Melilotus_officinalis","Coniza_bonariensis","Sarcocornia_perennis","Imperata_brasiliensis","Polypogon_monspeliensis"
"1","warming1",1,"yes",7.81,19.6,19.5,19,21.1,17.7,17.7,12.5,0.382836684,0.095737591,8.54,0.955665025,10.78989899,10.12804878,16.55728155,21.75868726,20.97614314,8.668,95,20,0,0,15,0,5
"2","warming2",2,"yes",7.43,20.7,20.6,21,20.8,18.3,18.4,12.5,0.433259741,0.113025325,2.82,0.983743842,9.72745098,15.38461538,23.22200772,16.44313725,17.11462451,10.61706349,80,4,0,0,8,4,0
"3","warming3",3,"yes",7.01,20.1,20.5,21,21,18.3,16.7,12.3,0.427226323,0.104028834,3.33,0.968965517,16.77988615,19.24489796,9.423935091,25.852,23.854,13.6626506,55,30,0,0,15,0,0
"4","warming4",4,"yes",7.33,19.5,20.8,21.6,20.6,17.5,17.3,12.6,0.424129694,0.11119524,3.84,0.822660099,14.79674797,11.35378323,17.98224852,21.67927928,17.20833333,13.61614173,95,0,0,0,5,0,0
"5","warming5",5,"yes",7.63,20.3,21,21.3,20.8,16.2,16.9,12.6,0.425179347,0.104628595,6.69,0.9408867,10.36100386,16.66334661,26.90891841,21.22692308,13.81010101,20.50499002,90,8,0,0,0,0,2
"6","warming6",6,"yes",7.38,19.4,20.9,21.4,20.4,15.9,16.1,12.6,0.516135949,0.178658458,6.15,0.984236453,9.025440313,18.85714286,NA,NA,20.02750491,27.08510638,80,8,0,0,5,0,0
"7","control1",7,"no",7.63,18.5,19,19,20.7,15.7,15.8,12.3,0.388457988,0.086001434,7.35,0.95862069,27.47440945,26.89546351,34.6201232,29.78015564,31.64754098,17.94589178,40,60,0,0,0,0,0
"8","control2",8,"no",7.69,19.8,20,19.9,20.1,16.2,16.5,12.4,0.454014964,0.109760884,7.08,0.983251232,22.5984252,22.684,30.46774194,27.23819302,37.68181818,14.69785575,45,50,0,0,2,0,0
"9","control3",9,"no",6.72,19.6,20.2,20.4,20.5,16.8,14.9,12.4,0.353249054,0.071029061,1.75,0.903448276,25.96525097,32.05487805,35.69494949,30.33333333,40.32604374,15.92982456,50,40,5,7,10,0,0
"10","control4",10,"no",7.19,18.8,19.9,21,19.6,15.4,15.2,12.8,0.424220885,0.109341513,0.68,0.921182266,28.44306418,31.71805274,33.74541752,NA,44.2749004,18.02750491,30,60,0,0,4,0,0
"11","control5",11,"no",6.97,19.5,19.7,21,20,14.4,15.1,13.8,0.306613965,0.062544414,10.06,0.719211823,20.1595092,29.90816327,24.99019608,36.5603272,32.69261477,22.684,30,65,3,0,0,0,0
"12","control6",12,"no",7.48,18.9,19.3,21.2,20,14.4,15,12.4,0.482293605,0.147298325,9.17,0.95270936,24.98396794,32.05731225,33.15587045,33.67913386,25.90349076,17.04294479,50,50,0,0,0,0,0
